,Title,Author,Poem
95,ব্যর্থতা,সুকান্ত ভট্টাচার্য,"আজকে হঠাৎ সাত সমুদ্র তেরো নদীপার হ’তে সাধ জাগে, মনে হয় তবু যদিপক্ষপাতের বালাই না নিয়ে পক্ষীরাজ,চাষার ছেলের হাতে এসে যেত হঠাৎ আজ৷তা হলে না হয় আকাশবিহার হ’ত সফল,টুকরো মেঘেরা যেতে যেতে ছুঁয়ে যেত কপোল;জনারণ্যে কি রাজকন্যার নেইকো ঠাঁই?কাস্তেখানাকে বাগিয়ে আজকে ভাবছি তাই৷ অসি নাই থাক, হাতে তো আমার কাস্তে আছে,চাষার ছেলের অসিকে কি ভালবাসাতে আছে?তাই আমি যেতে চাই সেখানেই যেখানে পীড়ন,যেখানে ঝলসে উঠবে কাস্তে দৃপ্ত কিরণ৷হে রাজকন্যা, দৈত্যপুরীতে বন্দী থেকেনিজেকে মুক্ত করতে আমায় নিয়েছ ডেকে৷হেমন্তে পাকা ফসল সামনে, তবু দিলে ডাক;তোমাকে মুক্ত করব, আজকে ধান কাটা থাক৷ রাজপুত্রের মতন যদিও নেই কৃপাণ,তবু মনে আশা, তাই কাস্তেতে দিচ্ছি শান,হে রাজকুমারী, আমাদের ঘরে আসতে তোমারমন চাইবে তো? হবে কষ্টের সমুদ্র পার?দৈত্যশালায় পাথরের ঘর, পালঙ্ক খাট,আমাদের শুধু পর্ণ কুটির, ফাঁকা ক্ষেত মাঠ;সোনার শিকল নেই, আমাদের মুক্ত আকাশ,রাজার ঝিয়ারী! এখানে নিদ্রাহীন বারো মাস৷ এখানে দিন ও রাত্রি পরিশ্রমেই কাটেসূর্য এখানে দ্রুত ওঠে, নামে দেরিতে পাটে৷হে রাজকন্যা, চলো যাই, আজ এলাম পাশে,পক্ষীরাজের অভাবে পা দেব কোমল ঘাসে৷হে রাজকন্যা সাড়া দাও, কেন মৌন পাষাণ?আমার সঙ্গে ক্ষেতে গিয়ে তুমি তুলবে না ধান?হে রাজকন্যা, ঘুম ভাঙলো না? সোনার কাঠিকোথা থেকে পাব, আমরা নিঃস্ব, ক্ষেতেই খাটি৷সোনার কাঠির সোনা নেই, আছে ধানের সোনা,তাতে কি হবে না? তবে তো বৃথাই অনুশোচনা॥ ব্যর্থতা’ কবিতাটি আষাঢ় ১৩৫৩ র কবিতা পত্রিকায় প্রকাশিত হয়৷ কবিতাটি ‘মীমাংসা’ কবিতার প্রথম খসড়া বলে মনে হয়৷"
96,ব্ল্যাক মার্কেট,সুকান্ত ভট্টাচার্য,"হাত করে মহাজন, হাত করে জোতদার,ব্ল্যাক মার্কেট করে ধনী রাম পোদ্দার,গরীব চাষীকে মেরে হাতখানা পাকালোবালিগঞ্জেতে বাড়ি খান ছয় হাঁকালো।কেউ নেই ত্রিভুবনে, নেই কিছু অভাবওতবু ছাড়ল না তার লোক মারা স্বভাবও।একা থাকে, তাই হরি চাকরটা রক্ষীত্রিসীমানা মাড়ায় না তাই কাক পক্ষী।বিশ্বে কাউকে রাম কাছে পেতে চান না,হরিই বাজার করে, সে ই করে রান্না।এমনি ক’রেই বেশ কেটে যাচ্ছিল কাল,হঠাৎ হিসেবে রাম দেখলেন গোলমাল,বললেন চাকরকেঃ কিরে ব্যাটা, কি ব্যাপার?এত টাকা লাগে কেন বাজারেতে রোজকার?আলু তিন টাকা সের? পটল পনেরো আনা?ভেবেছিস বাজারের কিছু বুঝি নেই জানা?রোজ রোজ চুরি তোর? হতভাগা, বজ্জাত!হাসছিস? এক্ষুণি ভেঙে দেব সব দাঁত।খানিকটা চুপ করে বলল চাকর হরিঃআপনারই দেখাদেখি ব্ল্যাক মাকের্ট করি। (মিঠে কড়া কাব্যগ্রন্থ)"
97,ভবিষ্যতে,সুকান্ত ভট্টাচার্য,"স্বাধীন হবে ভারতবর্ষ থাকবে না বন্ধন,আমারা সবাই স্বরাজ যজ্ঞে হব রে ইন্ধন!বুকের রক্ত দিব ঢালি স্বাধীনতারে,রক্ত পণে মুক্তি দের ভারত মাতারে৷মূর্খ যারা অজ্ঞ যারা যে জন বঞ্চিততাদের তরে মুক্তি সুধা করব সঞ্চিত৷চাষী মজুর দীন দরিদ্র সবাই মোদের ভাই,একস্বরে বলব মোরা স্বাধীনতা চাই॥থাকবে নাকো মতভেদ আর মিথ্যা সম্প্রদায়ছিন্ন হবে ভেদের গ্রন্থি কঠিন প্রতিজ্ঞায়৷আমরা সবাই ভারতবাসী শ্রেষ্ঠ পৃথিবীরআমরা হব মুক্তিদাতা আমরা হব বীর॥ ‘ভবিষ্যতে’ ও ‘সুচিকিৎসা’ — এই ছড়াদুটি ভূপেন্দ্রনাথ ভট্টাচার্যের লেখা ‘সুকান্ত প্রসঙ্গ’, ‘শারদীয়া বসুমতী’, ১৩৫৪ থেকে সংগৃহীত। পাণ্ডুলিপি পাওয়া যায় নি। এগুলি ১৯৪০ এর আগের লেখা বলে অনুমিত।"
98,ভারতীয় জীবনত্রাণ সমাজের মহাপ্রয়াণ উপলক্ষে শোকোচ্ছ্বাস,সুকান্ত ভট্টাচার্য,"ভারতীয় জীবনত্রাণ সমাজের মহাপ্রয়াণ উপলক্ষে শোকোচ্ছ্বাস(শচীন্দ্রনাথ ভট্টাচার্য কে) অকস্মাৎ মধ্যদিনে গান বন্ধ ক’রে দিল পাখি,ছিন্নভিন্ন সন্ধ্যাবেলা প্রাত্যহিক মিলনের রাখী;ঘরে ঘরে অনেকেই নিঃসঙ্গ একাকী৷ ক্লাব উঠে গিয়েছে সফরে,শূন্য ঘর, শূন্য মাঠ,ফুল ফোটা মালঞ্চ প’ড়েত্যক্ত এ ক্লাবের কক্ষে নিষ্প্রদীপ অন্ধকার নামে৷সূর্য অস্ত গিয়েছে কখন,কারো আজ দেখা নেই—কোথাও বন্ধুর দল ছড়ায় না হাসি,নিষ্প্রভ ভোজের স্বপ্ন;একটি কথাও শব্দ তোলে না বাতাসে—ক্লাব ঘরে ধুলো জমে,বিনা গল্পে সন্ধ্যা হয়;চাঁদ ওঠে উন্মুক্ত আকাশে৷ খেলোয়াড় খেলে নাকো,গায়কেরা গায় নাকো গান—বক্তারা বলে না কথাসাঁতারুর বন্ধ আজ স্নান৷সর্বস্ব নিয়েছে গোরা তারা মারে ঊরুতে চাপড়,যে পথে এ ক্লাব গেছে কে জানে সে পথের খবর? সন্ধ্যার আভাস আসে,জ্বলে না আলোক ক্লাব কক্ষের কোলে,হাতে হাতে নেই সিগারেট—তর্কাতর্কি হয় নাকো বিভক্ত দু’দলে;অযথা সন্ধ্যায় কোনো অচেনার পদশব্দেমালীটি হাঁকে না৷ মনে পড়ে লেকের সে পথ?মনে পড়ে সন্ধ্যাবেলা হাওয়ার চাবুক৷অনেক উজ্জ্বল দৃশ্য এই লেকেকরেছিল উৎসাহিত বুক৷কেরানী, বেকার, ছাত্র, অধ্যাপক, শিল্পী ও ডাক্তারসকলের কাছে ছিল অবারিত দ্বার,কাজের গহ্বর থেকে পাখিদের মতো এরা নীড়সন্ধানে, সন্ধ্যায় ডেকে এনেছিল এইখানে ভিড়৷রাজনীতি, অর্থনীতি, সাহিত্য ও সিনেমার কথা,এদের রসনা থেকে প্রত্যহ স্খলিত হ’তে অলক্ষ্যে অযথা;মাঝে মাঝে অনর্থক উচ্ছ্বসিত হাসি,বাতাসে ছড়াত নিত্য শব্দ রাশি রাশি৷ তারপর অকস্মাৎ ভেঙে গেল রুদ্ধশ্বাস মন্ত্রমুগ্ধ সভা,সহসা চৈতন্যোদয়; প্রত্যেকের বুকে ফোটে ক্ষুব্ধ রক্তজবা;সমস্ত গানের শেষে যেন ভেঙে গেল এক গানের আসর,যেমন রাত্রির শেষে নিঃশ্বেষে কাঙাল হয় বিবাহ বাসর৷ ‘জীবন রক্ষক’ এই সমাজের দারুণ অভাবে,এদের ‘জীবন রক্ষা’ হয়তো কঠিন হবে,হয়তো অনেক প্রাণ যাবে॥ ‘ভারতীয় জীবনত্রাণ সমাজের মহাপ্রয়াণ উপলক্ষে শোকোচ্ছ্বাস (শচীন্দ্রনাথ ভট্টাচার্য)’—এই শিরোনামায় কবিতাটি লেখা হয়েছিল৷ দক্ষিণ কলকাতার লেক অঞ্চলের ‘ইণ্ডিয়ান লাইফ সেভিং সোসাইটি’র সদস্য ছিলেন শচীন্দ্রনাথ ভট্টাচার্য৷ লেকে যুদ্ধকালীন মিলিটারী ক্যাম্প হওয়ায় প্রতিষ্ঠানটি বন্ধ হয়ে গেলে সুকান্ত এই কবিতাটি লিখেছিলেন৷"
99,ভাল খাবার,সুকান্ত ভট্টাচার্য,"ধনপতি পাল, তিনি জমিদার মস্ত;সূর্য রাজ্যে তাঁর যায় নাকো অস্ততার ওপর ফুলে উঠে কারখানা ব্যাঙ্কেআয়তনে হারালেন মোটা কোলা ব্যাঙকে।সবার “হুজুর” তিনি, সকলের কর্তা,হাজার সেলাম পান দিনে গড়পড়তা।সদাই পাহারা দেয় বাইরে সেপাই তাঁর,কাজ নেই, তাই শুধু ‘খাই খাই’ বাই তাঁর।এটা খান, সেটা খান, সব লাগে বিদ্ঘুটে,টান মেরে ফেলে দেন একটু খাবার খুঁটে;খাদ্যে অরুচি তাঁর, সব লাগে তিক্ত,খাওয়া ফেলে ধমকান শেষে অতিরিক্ত।দিনরাত চিৎকারঃ আরো বেশি টাকা চাই,আরো কিছু তহবিলে জমা হয়ে থাকা চাই।সব ভয়ে জড়োসড়ো, রোগ বড় প্যাঁচানো,খাওয়া ফেলে দিনরাত টাকা ব’লে চেঁচানো।ডাক্তার কবিরাজ ফিরে গেল বাড়িতে;চিন্তা পাকালো জট নায়েবের দাড়িতে।নায়েব অনেক ভেবে বলে হুজুরের প্রতিঃকী খাদ্য চাই? কী সে খেতে উত্তম অতি?নায়েবের অনুরোধে ধনপতি চারিদিকদেখে নিয়ে বার কয় হাসলেন ফিক ফিক্;তারপর বললেনঃ বলা ভারি শক্তসবচেয়ে ভালো খেতে গরীবের রক্ত। (মিঠে কড়া কাব্যগ্রন্থ)"
100,ভেজাল,সুকান্ত ভট্টাচার্য,"ভেজাল, ভেজাল, ভেজাল রে ভাই, ভেজাল সারা দেশটায়,ভেজাল ছাড়া খাঁটি জিনিস মিলবে নাকো চেষ্টায়!ভেজাল তেল আর ভেজাল চাল, ভেজাল ঘি আর ময়দা,‘কৌন ছোড়ে গা ভেজাল ভেইয়া, ভেজালসে হায় ফয়দা।’ভেজাল পোষাক, ভেজাল খাবার, ভেজাল লোকের ভাবনা,ভেজালেরই রাজত্ব এ পাটনা থেকে পাবনাভেজাল কথা বাংলাতে ইংরেজী ভেজাল চলছে,ভেজাল দেওয়া সত্যি কথা লোকেরা আজ বলছে।‘খাঁটি জিনিস’ এই কথাটা রেখো না আর চিত্তে,‘ভেজাল’ নামটা খাটি কেবল আর সকলই মিথ্যে।কলিতে ভাই ‘ভেজাল’ সত্য ভেজাল ছাড়া গতি নেই,ছড়াটাতেও ভেজাল দিলাম, ভেজাল দিলে ক্ষতি নেই।। (মিঠে কড়া কাব্যগ্রন্থ)"
101,মজুরদের ঝড়,সুকান্ত ভট্টাচার্য,"এখন এই তো সময় কই? কোথায়? বেরিয়ে এসো ধর্মঘটভাঙা দালালরা;সেই সব দালালরা ছেলেদের চোখের মতো যাদের ভোল বদলায়,বেরিয়ে এসো!জাহান্নামে যাওয়া মূর্খের দল,বিচ্ছিন্ন, তিক্ত, দুর্বোধ্যপরাজয় আর মৃত্যুর দূত বেরিয়ে এসো!বেরিয়ে এসো শক্তিমান আর অর্থলোভীর দলসংকীর্ণ গলির বিষাক্ত নিঃশ্বাস নিয়ে।গর্তের পোকারা!এই তো তোমাদের শুভক্ষণ,গর্ত ছেড়ে বেরিয়ে পড়োআর বেরিয়ে পড়ো ছোট ছোট সাপেরাবড় আর মোটা সাপেদের যারা ঘিরে থাকো।সময় হয়েছে,আসরফি আর পুরনো অপমানের বদলেসাদা যাদের পেট বংশগত সরীসৃপ দাঁত তারা বের করুক,এই তো তাদের সুযোগ।মানুষ ভালো করেই জানেঅনেক মানুষের বিরুদ্ধে একজনকে লাগানোর সেইপুরনো কায়দা। সামান্য কয়েকজন লোভীঅনেক অভাবীর বিরুদ্ধে আর স্বাস্থ্যবানদের বিরুদ্ধেক্ষয়ে যাওয়ার দল।সূর্যালোকের পথে যাদের যাত্রাতাদের বিরুদ্ধে তাই সাপেরা। অতীতে অবশ্য এই সাপেরা জিতেছে বহুবার।কিন্তু এখন সেই সময়,সচেতন মানুষ! এখন আর ভুল ক'রো না বিশ্বাস ক'রো না সেই সব সাপেদেরজমকালো চামড়ায় যারা নিজেদের ঢেকে রাখে,বিপদে পড়লে যারা ডাকেতাদের চেয়ে কম চটকদার বিষাক্ত অনুচরদের।এতটুকু লজ্জা হয় না তাদের ধর্মঘট ভাঙতেযে ধর্মঘট বেআব্রু ক্ষুদার চূড়ান্ত চিহ্ন। অবশ্য, এখনো কোনো সম্মানিত প্রতিষ্ঠান হয় নিযার অজ্ঞাত নামঃ""দর্মঘট ভাঙার দল""অন্তত দরজায় সে নাম লেখা থাকে না।ঝড় আসছে সেই ঝড়ঃযে ঝড় পৃথিবীর বুক থেকে জঞ্জালদের টেনে তুলবে।আর হুঁশিয়ার মজুরঃসে ঝড় প্রায় মুখোমুখি।।"
102,মণিপুর,সুকান্ত ভট্টাচার্য,"এ আকাশ, এ দিগন্ত, এই মাঠ, স্বপ্নের সবুজ ছোঁয়া মাটি,সহস্র বছর ধ'রে এসে আমি জানি পরিপাটি,জানি এ আমার দেশ অজস্র ঐতিহ্য দিয়ে ঘেরা,এখানে আমার রক্তে বেঁচে আছে পূর্বপুরুষেরা।যদিও দলিত দেশ, তবু মুক্তি কথা কয় কানে,যুগ যুগ আমরা যে বেঁচে থাকি পতনে উত্থানে!যে চাষী কেটেছে ধন, এ মাটিতে নিয়েছে কবর,এখনো আমার মধ্যে ভেসে আসে তাদের খবর।অদৃশ্য তাদের স্বপ্নের সমাচ্ছন্ন এদেশের ধূলি,মাটিতে তাদের স্পর্শ, তাদের কেমন ক'রে ভুলি?আমার সম্মুখে ক্ষেত, এ প্রান্তরে উদয়স্ত খাটি,ভালবাসি এ দিগন্ত, স্বপ্নের সবুজ ছোঁয়া মাটি।এখানে রক্তের দাগ রেখে গেছে চেঙ্গিস, তৈমুর,সে চিহ্নও মুছে দিল কত উচ্চৈঃশ্রবাদের খুর।কত যুদ্ধ হয়ে গেছে, কত রাজ্য হয়েছে উজাড়,উর্বর করেছে মাটি কত দিগ্বিজয়ীর হাড়।তবুও অজেয় এই শতাব্দীগ্রথিত হিন্দুস্থান,এরই মধ্যে আমাদের বিকশিত স্বপ্নের সন্ধান।আজন্ম দেখেছি আমি অদ্ভুত নতুন এক চোখে,আমার বিশাল দেশ আসমুদ্র ভারতবর্ষকে।এ ধুলোয় প্রতিরোধ, এ হাওয়ায় ঘুর্ণিত চাবুক,এখানে নিশ্চিহ্ন হল কত শত গর্বোদ্ধত বুক।এ মাটির জন্যে প্রাণ দিয়েছি তো কত যুগ ধ'রেরেখেছি মাটির মান কতবার কত যুদ্ধ ক'রে।আজকে যখন এই দিক্প্রান্তে ওঠে রক্ত ঝড়,কোমল মাটিতে রাখে শত্রু তার পায়ের স্বাক্ষর,তখন চীৎকার ক' রক্ত ব' ওঠে 'ধিক্ ধিক্,এখনো দিল না দেখা দেহে দেহে নির্ভয় সৈনিক!দাসত্বের ছদ্মবেশ দীর্ণ ক'রে উন্মোচিত হোকএকবার বিশ্বরূপ উদ্দাম, হে অধিনায়ক!’এদিকে উৎকর্ণ দিন, মণিপুর, কাঁপে মণিপুরচৈত্রের হাওয়ায় ক্লান্ত, উৎকণ্ঠায় অস্থির দুপুর কবে দেখা দেবে, কবে প্রতীক্ষিত সেই শুভক্ষণছড়াবে ঐশ্বর্য পথে জনতার দুরন্ত যৌবন?দুর্ভিক্ষপীড়িত দেশে অতর্কিতে শত্রু তার পদচিহ্ন রাখে এখনো শত্রু ক্ষমা? শত্রু কি করেছে ক্ষমা বিধ্বস্ত বাংলাকে?আজকের এ মুহূর্তে অবসন্ন শ্মশানস্তব্ধতা,কেন তাই মনে মনে আমি প্রশ্ন করি সেই কথা।তুমি কি ক্ষুদিত বন্ধু? তুমি কি ব্যাধিতে জরোজরো?তা হোক , তবুও তুমি আর এক মৃত্যুকে রোধ করো।বসন্ত লাগুক আজ আন্দোলিত প্রাণের শাখায়,আজকে আসুক বেগ এ নিশ্চল রথের চাকায়,এ মাটি উত্তপ্ত হোক, এ দিগন্তে আসুক বৈশাখ,ক্ষুদার আগুনে আজ শত্রুরা নিশ্চিহ্ন হয়ে যাক।শত্রুরা নিয়েছে আজ দ্বিতীয় মৃত্যুর ছদ্মবেশ,তবু কেন নিরুত্তর প্রাণের প্রাচুর্যে ভরা দেশ?এদেশে কৃষক আছে, এদেশে মজুর আছে জানি,এদেশে বিপ্লবী আছে, জনরাজ্যে মুক্তির সন্ধানী।দাসত্বের ধুলো ঝেড়ে তারা আজ আহ্বান পাঠাকঘোষণা করুক তারা এ মাটিতে আসন্ন বৈশাখ।তাই এই অবরুদ্ধ স্বপ্নহীন নিবিড় বাতাসেশব্দ হয়, মনে হয় রাত্রিশেষে ওরা যেন আসে।ওরা আসে, কান পেতে আমি তার পদধ্বনি শুনি,মৃত্যুকে নিহত ক'রে ওরা আসে উজ্জ্বল আরুণি,পৃথিবী ও ইতিহাস কাঁপে আজ অসহ্য আবেগে,ওদের পায়ের স্পর্শে মাটিতে সোনার দান, রঙ লাগে মেঘে।এ আকাশ চন্দ্রাতপ, সূর্য আজ ওদের পতাকা,মুক্তির প্রচ্ছদপটে ওদের কাহিনী আজ ঢাকা,আগন্তুক ইতিহাসে ওরা আজ প্রথম অধ্যায়,ওরা আজ পলিমাটি অবিরাম রক্তের বন্যায়;ওদের দুচোখে আজ বিকশিত আমার কামনা,অভিনন্দন গাছে, পথের দুপাশে অভ্যর্থনা।ওদের পতাকা ওড়ে প্রামে গ্রামে নগরে বন্দরে,মুক্তির সংগ্রাম সেরে ওরা ফেরে স্বপ্নময় ঘরে।। (কাব্যগ্রন্থঃ ঘুমনেই)"
103,মধ্যবিত্ত ৪২,সুকান্ত ভট্টাচার্য,"পৃথিবীময় যে সংক্রামক রোগে,আজকে সকলে ভুগছে একযোগে,এখানে খানিক তারই পূর্বাভাসপাচ্ছি, এখন বইছে পুব বাতাস।উপায় নেই যে সামলে ধরব হাল,হিংস্র বাতাসে ছিঁড়ল আজকে পাল,গোপনে আগুন বাড়ছে ধানক্ষেতে,বিদেশী খবরে রেখেছি কান পেতে।সভয়ে এদেশে কাটছে রাত্রিদিন,লুব্ধ বাজারে রুগ্ন স্বপ্নহীন।সহসা নেতারা রুদ্ধ দেশ জুড়ে'দেশপ্রেমিক' উদিত ভুঁই ফুঁড়ে।প্রথমে তাদের অন্ধ বীর মদেমেতেছি এবং ঠকেছি প্রতিপদে;দেখেছি সুবিধা নেই এ কাজ করায়একক চেষ্টা কেবলই ভুল ধরায়।এদিকে দেশের পূর্ব প্রান্তরেআবার বোমারু রক্ত পান করে,ক্ষুব্ধ জনতা আসামে, চাটগাঁয়ে,শাণিত দ্বৈত নগ্ন অন্যায়ে;তাদের স্বার্থ আমার স্বার্থকে,দেখছে চেতনা আজকে এক চোখে।।"
104,মহাত্মাজীর প্রতি,সুকান্ত ভট্টাচার্য,"চল্লিশ কোটি জনতার জানি আমিও যে একজন,হাঠাৎ ঘোষণা শুনেছি; আমার জীবনে শুভক্ষণএসেছে, তখনি মুছে গেছে ভীরু চিন্তার হিজিবিজি।রক্তে বেজেছে উৎসব, আজ হাত ধরো গান্ধীজী।এখানে আমরা লড়েছি, মরেছি, করেছি অঙ্গীকার,এ মৃতদেহের বাধা ঠেলে হব অজেয় রাজ্য পার।এসেছে বন্যা, এসেছে মৃত্যু, পরে যুদ্ধের ঝড়,মন্বন্তর রেখে গেছে তার পথে পথে স্বাক্ষর,প্রতি মুহূর্তে বুঝেছি এবার মুছে নেবে ইতিহাস তবু উদ্দাম, মৃত্যু আহত ফেলি নি দীর্ঘশ্বাস;নগর গ্রামের শ্মশানে শ্মশানে নিহিত অভিজ্ঞান;বহু মৃত্যুর মুখোমুখি দৃঢ় করেছি জয়ের ধ্যান।তাইতো এখানে আজ ঘনিষ্ঠ স্বপ্নের কাছাকাছি,মনে হয় শুদু তোমারই মধ্যে আমরা যে বেঁচে আছি তোমাকে পেয়েছি অনেক মৃত্যু উত্তরণের শেষে,তোমাকে গড়ব প্রাচীর, ধ্বংস বিকীর্ণ এই দেশে।দিক্‌দিগন্তে প্রসারিত হাতে তুমি যে পাঠালে ডাক,তাইতো আজকে গ্রামে ও নগরে স্পন্দিত লাখে লাখ।।"
105,মার্শাল তিতোর প্রতি,সুকান্ত ভট্টাচার্য,"মার্শাল তিতোর প্রতি কমরেড, তুমি পাঠালে ঘোষণা দেশান্তরে,কুটিরে কুটিরে প্রতিধ্বনি,—তুলেছে মুক্তি দারুণ তুফান প্রাণের ঝড়েতুমি শক্তির অটুট খনি৷কমরেড, আজ কিষাণ শ্রমিক তোমার পাশেতুমি যে মুক্তি রটনা করো,তারাই সৈন্য : হাজারে হাজারে এগিয়ে আসেতোমার দু’পাশে সকলে জড়ো৷হে বন্ধু, আজ তুমি বিদ্যুৎ অন্ধকারেসে আলোয় দ্রুত পথকে চেনা :সহসা জনতা দৃপ্ত গেরিলা—অত্যাচারে,দৃঢ় শত্রুর মেটায় দেনা৷তোমার মন্ত্র কোণে কোণে ফেরে সংগোপনেপথচারীদের ক্ষিপ্রগতি;মেতেছে জনতা মুক্তির দ্বার উদঘাটনে :—ভীরু প্রস্তাবে অসম্মতি৷ফসলের ক্ষেতে শত্রু রক্ত সেচন করে,মৃত্যুর ঢেউ কারখানাতে—তবুও আকাশ ভরে আচমকে আর্তস্বরে :শত্রু নিহত স্তব্ধ রাতে৷প্রবল পাহাড়ে গোপন যুদ্ধ সঞ্চারিতদৃঢ় প্রতিজ্ঞা মুখর গানে,বিপ্লবী পথে মিলেছে এবার বন্ধু তিতো :মুক্তির ফৌজ আঘাত হানে৷শত্রু শিবিরে লাগানো আগুনে বাঁধন পোড়ে—অগ্নি ইশারা জনান্তিকে!ধ্বংসস্তূপে আজ মুক্তির পতাকা ওড়েভাঙার বন্যা চতুর্দিকে৷নামে বসন্ত, পাইন বনের শাখায় শাখায়গাঢ় সংগীত তুষারপাতে,অযুত জীবন ঘনিষ্ঠ দেহে সামনে তাকায় :মারণ অস্ত্র সবল হাতে৷লক্ষ জনতা রক্তে শপথ রচনা করে—‘আমরা নই তো মৃত্যুভীত,তৈরি আমরা; যুগোশ্লাভের প্রতিটি ঘরেতুমি আছ জানি বন্ধু তিতো৷’তোমার সেনানী পথে প্রান্তরে দোসর খোঁজে :‘কোথায় কে আছ মুক্তিকামী?’ক্ষিপ্ত করেছে তোমার সে ডাক আমাকেও যেতাইতো তোমার পেছনে আমি॥ ‘মার্শাল তিতোর প্রতি’ কবিতাটির রচনাকাল আনুমানিক ১৯৪৪৷"
106,মীমাংসা,সুকান্ত ভট্টাচার্য,"আজকে হঠাৎ সাত সমুদ্র তের নদীপার হতে সাধ জাগে মনে, হায় তবু যদিপক্ষপাতের বালাই না নিয়ে পক্ষীরাজপ্রস্রবণের মতো এসে যেত হঠাৎ আজ তাহলে না হয় আকাশ বিহার হত সফল,টুকরো মেঘেরা যেতে যেতে ছুঁয়ে যেত কপোল। আর আমি বুঝি দৈত্যদলনে সাগর পারহতাম; যেখানে দানবের দায়ে সব আঁধার।মত্ত যেখানে দৈত্যে দৈত্যে বিবাদ ভারি;হানাহানি নিয়ে সুন্দরী এক রাজকুমারী।(রাজকন্যার লোভ নেই, লোভ অলঙ্কারে,দৈত্যেরা শুধু বিবস্ত্রা ক'রে চায় তাহারে।) আমি একজন লুপ্তগর্ব রাজার তনয়এত অন্যায় সহ্য করব কোনোমতে নয় তাই আমি যেতে চাই সেখানেই যেখানে পীড়ন,যেখানে ঝল্‌সে উঠবে আমার অসির কিরণ।ভাঙাচোরা এক তলোয়ার আছে, (নয় দু'ধারী)তাও হ'ত তবে পক্ষীরাজেরই অভাব ভারি।তাই ভাবি আজ, তবে আমি খুঁজে নেব কৌপীননেব কয়েকটা বেছে জানা জানা বুলি সৌখিন।।"
107,মুক্ত বীরদের প্রতি,সুকান্ত ভট্টাচার্য,"তোমরা এসেছ, বিপ্লবী বীর! অবাক অভ্যুদয়।যদিও রক্ত ছড়িয়ে রয়েছে সারা কলকাতাময়।তবু দেখ আজ রক্তে রক্তে সাড়া আমরা এসেছি উদ্দাম ভয়হারা।আমরা এসেছি চারিদিক থেকে, ভুলতে কখনো পারি!একসূত্রে যে বাঁধা হয়ে গেছে কবে কোন্ যুগে নাড়ী।আমরা যে বারে বারেতোমাদের কথা পৌঁছে দিয়েছি এদেশের দ্বারে দ্বারে,মিছিলে মিছিলে সভায় সভায় উদাত্ত আহ্বানে,তোমাদের স্মৃতি জাগিয়ে রেখেছি জনতার উত্থানে,উদ্দাম ধ্বনি মুখরিত পথেঘাটে,পার্কের মোড়ে, ঘরে, ময়দানে, মাঠেমুক্তির দাবি করেছি তীব্রতরসারা কলকাতা শ্লোগানেই থরোথরো।এই সেই কলকাতা।একদিন যার ভয়ে দুরু দুরু বৃটিশ নোয়াত মাথা।মনে পড়ে চব্বিশে?সেদিন দুপুরে সারা কলকাতা হারিয়ে ফেলেছে দিশে;হাজার হাজার জনসাধারণ ধেয়ে চলে সম্মুখেপরিষদ গেটে হাজির সকলে, শেষ প্রতিজ্ঞা বুকেগর্জে উঠল হাজার হাজার ভাইঃরক্তের বিনিময়ে হয় হোক, আমরা ওদের চাই।সফল! সফল! সেদিনের কলকাতা হেঁট হয়েছিল অত্যাচারী ও দাম্ভিকদের মাথা।জানি বিকৃত আজকের কলকাতাবৃটিশ এখন এখানে জনত্রাতা! গৃহযুদ্ধের ঝড় বয়ে গেছে ডেকেছে এখানে কালো রক্তের বান;সেদিনের কলকাতা এ আঘাতে ভেঙে চুরে খান্‌খান্।তোমারা এসেছ বীরের মতন, আমরা চোরের মতো। তোমরা এসেছ, ভেঙেছ অন্ধকার তোমরা এসেছ, ভয় করি নাকো আর।পায়ের স্পর্শে মেঘ কেটে যাবে, উজ্জ্বল রোদ্দুরছড়িয়ে পড়বে বহুদুর বহুদূরতোমরা এসেছ, জেনো এইবার নির্ভয় কলকাতা অত্যাচারের হাত থেকে জানি তোমরা মুক্তিদাতা।তোমরা এসেছ, শিহরণ ঘাসে ঘাসেঃপাখির কাকলি উদ্দাম উচ্ছ্বাসে,মর্মরধ্বনি তরুপল্লবে শাখায় শাখায় লাগেঃহঠাৎ মৌন মহাসমুদ্র জাগেঅস্থির হাওয়া অরণ্যপর্বতে,গুঞ্জন ওঠে তোমরা যাও যে পথে। আজ তোমাদের মুক্তিসভায় তোমদের সম্মুখে,শপথ নিলাম আমরা হাজার মুখেঃযতদিন আছে আমাদের প্রাণ, আমাদের সম্মান,আমরা রুখব গৃহযুদ্ধের কালো রক্তের বান।অনেক রক্ত দিয়েছি আমরা, বুঝি আরো দিতে হবেএগিয়ে চলার প্রত্যেক উৎসবে।তবুও আজকে ভরসা, যেহেতু তোমরা রয়েছ পাশে,তোমরা রয়েছ এদেশের নিঃশ্বাসে। তোমাদের পথ যদিও কুয়াশাময়,উদ্দাম জয়যাত্রার পথে জেনো ও কিছুই নয়।তোমরা রয়েছ, আমরা রয়েছি, দুর্জয় দুর্বার,পদাঘাতে পদাঘাতেই ভাঙব মুক্তির শেষ দ্বার।আবার জ্বালাব বাতি,হাজার সেলাম তাই নাও আজ, শেষযুদ্ধের সাথী।। (কাব্যগ্রন্থঃ ঘুমনেই)"
